species,rep_taxid,organism_name,nirK_present,pcuac_present,nirK_rep_accession,pcuac_rep_accession,class
abyssibacter profundi,2182787,Abyssibacter profundi,0,1,N/A,WP_165831246.1,pcuac_only
abyssibacter sp.,2320200,Abyssibacter sp.,0,1,N/A,WP_347207236.1,pcuac_only
abyssibius alkaniclasticus,2881234,Abyssibius alkaniclasticus,1,1,WP_446071889.1,WP_274127028.1,both
abyssogena phaseoliformis,596095,Abyssogena phaseoliformis symbiont;Abyssogena phaseoliformis symbiont OG214,0,1,N/A,WP_201340784.1,pcuac_only
accumulibacter sp.,2053492,Accumulibacter sp.,1,1,WP_287463468.1,WP_287698565.1,both
acetobacter cerevisiae,178900,Acetobacter cerevisiae,1,0,WP_062142650.1,N/A,nirK_only
acetobacter cibinongensis,146475,Acetobacter cibinongensis,1,0,WP_086650426.1,N/A,nirK_only
acetobacter conturbans,1737472,Acetobacter conturbans,1,0,WP_173571439.1,N/A,nirK_only
acetobacter indonesiensis,104101,Acetobacter indonesiensis,1,0,WP_237595003.1,N/A,nirK_only
acetobacter malorum,178901,Acetobacter malorum,1,0,WP_061490756.1,N/A,nirK_only
acetobacter orientalis,146474,Acetobacter orientalis,1,0,WP_094755369.1,N/A,nirK_only
acetobacter papayae,1076592,Acetobacter papayae,1,0,WP_415483635.1,N/A,nirK_only
acetobacter peroxydans,104098,Acetobacter peroxydans,1,0,WP_273201479.1,N/A,nirK_only
acetobacter persici,1076596,Acetobacter persici;Acetobacter persici JCM 25330,1,0,WP_464090701.1,N/A,nirK_only
acetobacter senegalensis,446692,Acetobacter senegalensis,1,0,WP_237955368.1,N/A,nirK_only
acetobacter sp.,2762620,Acetobacter sp. P5B1,1,0,WP_215754906.1,N/A,nirK_only
acetobacter suratthaniensis,1502841,Acetobacter suratthaniensis,1,0,WP_207854668.1,N/A,nirK_only
acetobacteraceae acetobacter,433,Acetobacteraceae;Acetobacter oeni;Acetobacter oeni LMG 21952;Gluconobacter cerevisiae,1,0,WP_146887085.1,N/A,nirK_only
acetobacteraceae acidomonas,437,Acetobacteraceae;Acidomonas methanolica;Gluconobacter oxydans;Asaia bogorensis;Acetobacter musti;Acidomonas methanolica NBRC 104435;Gluconobacter potus;Brytella acorum;Asaia sp. VD9,1,0,WP_042056440.1,N/A,nirK_only
achromobacter achromobacter,222,Achromobacter;Achromobacter mucicolens;Achromobacter sp. 77;Achromobacter sp. GbtcB20;Achromobacter sp. JD417;Achromobacter sp. E1,1,1,WP_062841822.1,WP_054500374.1,both
achromobacter aegrifaciens,1287736,Achromobacter aegrifaciens,1,0,WP_447919104.1,N/A,nirK_only
achromobacter agilis,1353888,Achromobacter agilis,1,1,WP_129529170.1,WP_129525568.1,both
achromobacter aloeverae,1750518,Achromobacter aloeverae,0,1,N/A,WP_454692269.1,pcuac_only
achromobacter animicus,1389935,Achromobacter animicus,1,0,WP_175185055.1,N/A,nirK_only
achromobacter anxifer,1287737,Achromobacter anxifer,1,1,WP_258130644.1,WP_175210357.1,both
achromobacter arsenitoxydans,477184,Achromobacter arsenitoxydans SY8;Achromobacter arsenitoxydans,1,1,WP_008161627.1,WP_008159746.1,both
achromobacter colocynthi,3341854,Achromobacter colocynthi,0,1,N/A,WP_485820649.1,pcuac_only
achromobacter deleyi,1353891,Achromobacter deleyi,1,1,WP_171664553.1,WP_171667834.1,both
achromobacter denitrificans,32002,Achromobacter denitrificans,1,1,WP_457985301.1,WP_457984634.1,both
achromobacter dolens,1287738,Achromobacter dolens,0,1,N/A,WP_144655741.1,pcuac_only
achromobacter insolitus,217204,Achromobacter insolitus,0,1,N/A,WP_175198743.1,pcuac_only
achromobacter insuavis,1287735,Achromobacter insuavis,0,1,N/A,WP_116521866.1,pcuac_only
achromobacter maghribensis,3341861,Achromobacter maghribensis,1,0,WP_485822190.1,N/A,nirK_only
achromobacter marplatensis,470868,Achromobacter marplatensis,1,0,WP_006226874.1,N/A,nirK_only
achromobacter mucicolens,1389922,Achromobacter mucicolens,0,1,N/A,WP_063955094.1,pcuac_only
achromobacter pestifer,1353889,Achromobacter pestifer,1,0,WP_175176948.1,N/A,nirK_only
achromobacter piechaudii,72556,Achromobacter piechaudii,0,1,N/A,WP_175127934.1,pcuac_only
achromobacter ruhlandii,72557,Achromobacter ruhlandii,0,1,N/A,WP_063579987.1,pcuac_only
achromobacter seleniivolatilans,3047478,Achromobacter seleniivolatilans,1,1,WP_306948171.1,WP_306941794.1,both
achromobacter sp.,2829161,Achromobacter sp. Marseille-Q0513,1,1,WP_212318252.1,WP_053245717.1,both
achromobacter spanius,217203,Achromobacter spanius,1,1,WP_400522857.1,WP_346540455.1,both
achromobacter veterisilvae,2069367,Achromobacter veterisilvae,1,1,WP_129246430.1,WP_129240370.1,both
achromobacter xylosoxidans,1167634,Achromobacter xylosoxidans;Achromobacter xylosoxidans NH44784-1996,1,1,WP_020927127.1,WP_026382113.1,both
acidibrevibacterium fodinaquatile,1969806,Acidibrevibacterium fodinaquatile,0,1,N/A,WP_114912617.1,pcuac_only
acidibrevibacterium sp.,2606776,Acidibrevibacterium sp.,0,1,N/A,WP_427936655.1,pcuac_only
acidicapsa acidisoli,1615681,Acidicapsa acidisoli,1,0,WP_263354885.1,N/A,nirK_only
acidiferrobacter sp.,1281578,Acidiferrobacter sp. SPIII_3,1,0,WP_205735935.1,N/A,nirK_only
acidiferrobacter thiooxydans,163359,Acidiferrobacter thiooxydans,1,0,WP_461286836.1,N/A,nirK_only
acidihalobacter prosperus,160660,Acidihalobacter prosperus,1,1,WP_161489964.1,WP_455384681.1,both
acidihalobacter sp.,1872108,Acidihalobacter sp.,0,1,N/A,WP_337817995.1,pcuac_only
acidihalobacter yilgarnensis,2819280,Acidihalobacter yilgarnensis,1,0,WP_083251403.1,N/A,nirK_only
acidimangrovimonas pyrenivorans,2030798,Acidimangrovimonas pyrenivorans,0,1,N/A,WP_377830696.1,pcuac_only
acidimangrovimonas sediminis,2056283,Acidimangrovimonas sediminis,0,1,N/A,WP_102225038.1,pcuac_only
acidiphilium acidiphilium,522,Acidiphilium;Acidiphilium rubrum;Acidiphilium angustum ATCC 35903,0,1,N/A,WP_029314702.1,pcuac_only
acidiphilium acidophilum,76588,Acidiphilium acidophilum,0,1,N/A,WP_331259585.1,pcuac_only
acidiphilium sp.,1464546,Acidiphilium sp. JA12-A1,0,1,N/A,WP_035185695.1,pcuac_only
acidipila rosea,768535,Acidipila rosea,1,0,WP_131994446.1,N/A,nirK_only
acidipila sp.,2305226,Acidipila sp. EB88,1,0,WP_233580913.1,N/A,nirK_only
acidipropionibacterium acidipropionici,1748,Acidipropionibacterium acidipropionici,1,0,WP_062819875.1,N/A,nirK_only
acidipropionibacterium jensenii,1749,Acidipropionibacterium jensenii,1,0,WP_420809251.1,N/A,nirK_only
acidipropionibacterium thoenii,1751,Acidipropionibacterium thoenii;Acidipropionibacterium thoenii DSM 20276,1,0,WP_245569907.1,N/A,nirK_only
acidipropionibacterium timonense,2161818,Acidipropionibacterium timonense,1,0,WP_245306687.1,N/A,nirK_only
acidipropionibacterium virtanenii,2057246,Acidipropionibacterium virtanenii,1,0,WP_114045945.1,N/A,nirK_only
acidisoma cellulosilyticum,2802395,Acidisoma cellulosilyticum,0,1,N/A,WP_227308464.1,pcuac_only
acidisoma cladoniae,3040935,Acidisoma cladoniae,0,1,N/A,WP_284947453.1,pcuac_only
acidisoma sibiricum,512383,Acidisoma sibiricum,0,1,N/A,WP_489212828.1,pcuac_only
acidisoma silvae,2802396,Acidisoma silvae,0,1,N/A,WP_227321691.1,pcuac_only
acidisoma sp.,1872115,Acidisoma sp.,0,1,N/A,WP_325357799.1,pcuac_only
acidisphaera rubrifaciens,50715,Acidisphaera rubrifaciens;Acidisphaera rubrifaciens HS-AP3,0,1,N/A,WP_158322797.1,pcuac_only
acidisphaera sp.,1641851,Acidisphaera sp. L21,0,1,N/A,WP_158743788.1,pcuac_only
acidocella aluminiidurans,472056,Acidocella aluminiidurans,0,1,N/A,WP_464061886.1,pcuac_only
acidocella aminolytica,33998,Acidocella aminolytica;Acidocella aminolytica 101 = DSM 11237,0,1,N/A,WP_048880289.1,pcuac_only
acidocella facilis,525,Acidocella facilis,0,1,N/A,WP_234730320.1,pcuac_only
acidocella sp.,1214225,Acidocella sp. MX-AZ02,0,1,N/A,WP_008494903.1,pcuac_only
acidothermus cellulolyticus,28049,Acidothermus cellulolyticus;Acidothermus cellulolyticus 11B,1,0,WP_011719339.1,N/A,nirK_only
acidovorax acidovorax,12916,Acidovorax;Acidovorax soli;Acidovorax sp.,0,1,N/A,WP_303832976.1,pcuac_only
acidovorax bellezanensis,2976702,Acidovorax bellezanensis,0,1,N/A,WP_261501815.1,pcuac_only
acidovorax benzenivorans,2987520,Acidovorax benzenivorans,0,1,N/A,WP_274111470.1,pcuac_only
acidovorax carolinensis,553814,Acidovorax carolinensis,1,1,WP_086914019.1,WP_086928253.1,both
acidovorax cavernicola,1675792,Acidovorax cavernicola,1,1,WP_119554504.1,WP_119558566.1,both
acidovorax delafieldii,47920,Acidovorax delafieldii,1,1,WP_146871844.1,WP_005799463.1,both
acidovorax ebreus,535289,[Acidovorax] ebreus TPSY;[Acidovorax] ebreus,1,1,WP_015912852.1,WP_015914028.1,both
acidovorax facilis,12917,Acidovorax facilis,1,1,WP_431152660.1,WP_426305375.1,both
acidovorax kalamii,2004485,Acidovorax kalamii,0,1,N/A,WP_252658828.1,pcuac_only
acidovorax lacteus,1924988,Acidovorax lacteus,0,1,N/A,WP_345061009.1,pcuac_only
acidovorax radicis,758826,Acidovorax radicis,0,1,N/A,WP_226445370.1,pcuac_only
acidovorax sacchari,3230736,Acidovorax sacchari,0,1,N/A,WP_415266260.1,pcuac_only
acidovorax soli,592050,Acidovorax soli,1,1,WP_184856390.1,WP_184859638.1,both
acidovorax sp.,2135633,Acidovorax sp. 94,1,1,WP_121419706.1,WP_007856694.1,both
acidovorax temperans,80878,Acidovorax temperans,1,1,WP_044401767.1,WP_142083257.1,both
acinetobacter baumannii,470,Acinetobacter baumannii,1,0,WP_447573969.1,N/A,nirK_only
acinetobacter sp.,472,Acinetobacter sp.;Pseudomonadota;Advenella alkanexedens;Advenella sp. EE-W14,0,1,N/A,WP_169295109.1,pcuac_only
acrocarpospora catenulata,2836182,Acrocarpospora catenulata,1,1,WP_214104370.1,WP_214108326.1,both
acrocarpospora corrugata,35763,Acrocarpospora corrugata,1,1,WP_218034299.1,WP_155339556.1,both
acrocarpospora macrocephala,150177,Acrocarpospora macrocephala,1,1,WP_281356274.1,WP_246267999.1,both
