genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
flavobacterium,139.0,139.0,0.0,0.27399999999999997,0.27699999999999997,0.27799999999999997,0.0,0.0040000000000000036,NirK only
streptomyces,81.0,79.0,2.0,1.262,1.262,1.262,0.024691358024691357,0.0,Mixed
neisseria,36.0,5.0,31.0,0.256,0.258,0.26,0.8611111111111112,0.0040000000000000036,Mixed
cryobacterium,29.0,29.0,0.0,0.9490000000000001,0.9490000000000001,0.9490000000000001,0.0,0.0,NirK only
leptospira,25.0,25.0,0.0,0.28200000000000003,0.28200000000000003,0.28200000000000003,0.0,0.0,NirK only
microbacterium,25.0,24.0,1.0,0.955,1.266,1.266,0.04,0.31100000000000005,Mixed
cellulomonas,24.0,24.0,0.0,0.946,0.9490000000000001,0.9490000000000001,0.0,0.0030000000000001137,NirK only
janthinobacterium,24.0,20.0,4.0,0.292,0.292,0.292,0.16666666666666666,0.0,Mixed
pontibacter,24.0,24.0,0.0,0.266,0.267,0.267,0.0,0.0010000000000000009,NirK only
nonomuraea,23.0,12.0,11.0,1.262,1.262,1.264,0.4782608695652174,0.0020000000000000018,Mixed
massilia,23.0,6.0,17.0,0.27999999999999997,0.281,0.28150000000000003,0.7391304347826086,0.0015000000000000568,Mixed
azospirillum,21.0,3.0,18.0,0.313,0.627,0.629,0.8571428571428571,0.316,Mixed
brachybacterium,21.0,13.0,8.0,0.637,0.639,0.962,0.38095238095238093,0.32499999999999996,Mixed
lysobacter,21.0,16.0,5.0,0.295,0.528,0.532,0.23809523809523808,0.23700000000000004,Mixed
mycobacterium,20.0,20.0,0.0,1.27,1.274,1.274,0.0,0.0040000000000000036,NirK only
pseudoxanthomonas,20.0,8.0,12.0,0.292,0.293,0.3555,0.6,0.0635,Mixed
ornithinimicrobium,19.0,19.0,0.0,0.9520000000000001,0.9650000000000001,1.27,0.0,0.31799999999999995,NirK only
aequorivita,19.0,19.0,0.0,0.27399999999999997,0.27399999999999997,0.27399999999999997,0.0,0.0,NirK only
kocuria,18.0,17.0,1.0,0.9490000000000001,0.9520000000000001,0.95425,0.05555555555555555,0.005249999999999977,Mixed
tenacibaculum,18.0,18.0,0.0,0.27499999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0,NirK only
chryseobacterium,18.0,18.0,0.0,0.302,0.302,0.302,0.0,0.0,NirK only
actinomadura,17.0,16.0,1.0,1.262,1.262,1.262,0.058823529411764705,0.0,Mixed
rhodanobacter,17.0,11.0,6.0,0.267,0.267,0.27699999999999997,0.35294117647058826,0.009999999999999953,Mixed
polaribacter,17.0,17.0,0.0,0.27399999999999997,0.27499999999999997,0.27499999999999997,0.0,0.0010000000000000009,NirK only
tessaracoccus,17.0,16.0,1.0,0.962,1.266,1.278,0.058823529411764705,0.31600000000000006,Mixed
microvirga,16.0,0.0,16.0,0.312,0.313,0.313,1.0,0.0010000000000000009,Both proteins
