genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
pseudomonas,257.0,252.0,5.0,0.714,0.746,0.758,0.019455252918287938,0.04400000000000004,Mixed
vibrio,90.0,90.0,0.0,0.0,0.0,0.694,0.0,0.694,PCuAC only
bradyrhizobium,84.0,77.0,7.0,0.694,0.699,0.7040000000000001,0.08333333333333333,0.01000000000000012,Mixed
paracoccus,69.0,67.0,2.0,0.0,0.0,0.752,0.028985507246376812,0.752,Mixed
mesorhizobium,66.0,64.0,2.0,0.714,0.714,0.719,0.030303030303030304,0.0050000000000000044,Mixed
rhizobium,66.0,65.0,1.0,0.0,0.0,0.0,0.015151515151515152,0.0,Mixed
shewanella,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
bartonella,53.0,53.0,0.0,0.709,0.709,0.714,0.0,0.0050000000000000044,PCuAC only
methylobacterium,50.0,50.0,0.0,0.694,0.699,0.709,0.0,0.015000000000000013,PCuAC only
photobacterium,47.0,47.0,0.0,0.6689999999999999,0.676,0.6799999999999999,0.0,0.01100000000000001,PCuAC only
massilia,42.0,25.0,17.0,0.758,0.763,0.769,0.40476190476190477,0.01100000000000001,Mixed
marinobacter,39.0,36.0,3.0,0.714,0.719,0.7250000000000001,0.07692307692307693,0.01100000000000012,Mixed
microvirga,38.0,22.0,16.0,0.7040000000000001,0.709,0.714,0.42105263157894735,0.009999999999999898,Mixed
sphingomonas,38.0,35.0,3.0,0.714,0.7464999999999999,0.781,0.07894736842105263,0.06700000000000006,Mixed
devosia,37.0,27.0,10.0,0.0,0.0,0.0,0.2702702702702703,0.0,Mixed
neisseria,36.0,5.0,31.0,0.637,0.641,0.66325,0.8611111111111112,0.026249999999999996,Mixed
roseovarius,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
halomonas,34.0,32.0,2.0,0.0,0.73,0.74475,0.058823529411764705,0.74475,Mixed
stenotrophomonas,28.0,27.0,1.0,0.781,0.781,1.47725,0.03571428571428571,0.6962499999999999,Mixed
rickettsia,28.0,28.0,0.0,0.763,0.763,0.763,0.0,0.0,PCuAC only
brucella,27.0,26.0,1.0,0.0,0.0,0.0,0.037037037037037035,0.0,Mixed
achromobacter,26.0,26.0,0.0,1.418,1.418,1.418,0.0,0.0,PCuAC only
xanthomonas,25.0,25.0,0.0,0.709,0.781,0.787,0.0,0.07800000000000007,PCuAC only
polynucleobacter,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
azospirillum,24.0,6.0,18.0,0.719,0.719,0.73,0.75,0.01100000000000001,Mixed
thermus,23.0,23.0,0.0,0.7905,1.5270000000000001,1.538,0.0,0.7475,PCuAC only
vreelandella,23.0,22.0,1.0,0.7040000000000001,0.709,0.735,0.043478260869565216,0.030999999999999917,Mixed
ruegeria,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
duganella,22.0,10.0,12.0,0.769,0.775,0.775,0.5454545454545454,0.006000000000000005,Mixed
agrobacterium,22.0,20.0,2.0,0.0,0.0,0.0,0.09090909090909091,0.0,Mixed
nonomuraea,21.0,10.0,11.0,0.752,0.752,0.758,0.5238095238095238,0.006000000000000005,Mixed
sulfitobacter,20.0,19.0,1.0,0.0,0.0,0.7355,0.05,0.7355,Mixed
roseibium,19.0,19.0,0.0,0.699,0.709,0.714,0.0,0.015000000000000013,PCuAC only
ancylobacter,18.0,18.0,0.0,0.699,0.7015,0.7040000000000001,0.0,0.0050000000000001155,PCuAC only
brevundimonas,17.0,16.0,1.0,0.719,0.73,0.73,0.058823529411764705,0.01100000000000001,Mixed
ralstonia,17.0,4.0,13.0,0.758,0.758,0.758,0.7647058823529411,0.0,Mixed
billgrantia,17.0,14.0,3.0,0.0,0.0,0.0,0.17647058823529413,0.0,Mixed
thalassotalea,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
bordetella,16.0,16.0,0.0,0.714,1.418,1.429,0.0,0.7150000000000001,PCuAC only
comamonas,16.0,12.0,4.0,0.746,0.758,1.493,0.25,0.7470000000000001,Mixed
rheinheimera,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudoalteromonas,15.0,12.0,3.0,0.0,0.0,0.3705,0.2,0.3705,Mixed
sinorhizobium,15.0,14.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,Mixed
campylobacter,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
cupriavidus,15.0,15.0,0.0,0.758,0.758,0.763,0.0,0.0050000000000000044,PCuAC only
hydrogenophaga,15.0,15.0,0.0,0.738,0.752,1.471,0.0,0.7330000000000001,PCuAC only
chromobacterium,14.0,9.0,5.0,0.7152499999999999,0.7250000000000001,0.7250000000000001,0.35714285714285715,0.009750000000000147,Mixed
pandoraea,14.0,14.0,0.0,0.746,0.746,0.752,0.0,0.006000000000000005,PCuAC only
streptomyces,14.0,12.0,2.0,0.0,0.0,0.5595,0.14285714285714285,0.5595,Mixed
pseudoxanthomonas,14.0,2.0,12.0,0.781,0.787,0.7922499999999999,0.8571428571428571,0.011249999999999871,Mixed
nitratireductor,14.0,12.0,2.0,0.69775,0.714,0.71775,0.14285714285714285,0.020000000000000018,Mixed
colwellia,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
thauera,14.0,14.0,0.0,0.752,0.752,0.758,0.0,0.006000000000000005,PCuAC only
thalassospira,13.0,13.0,0.0,0.662,0.6669999999999999,0.676,0.0,0.014000000000000012,PCuAC only
idiomarina,13.0,13.0,0.0,0.758,0.775,0.781,0.0,0.02300000000000002,PCuAC only
nocardia,13.0,13.0,0.0,0.746,0.752,0.763,0.0,0.017000000000000015,PCuAC only
marinobacterium,13.0,7.0,6.0,0.0,0.0,0.0,0.46153846153846156,0.0,Mixed
marinomonas,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
gemmobacter,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
salipiger,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
alteromonas,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
psychromonas,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
luteimonas,12.0,9.0,3.0,0.7395,0.77,0.7939999999999999,0.25,0.05449999999999988,Mixed
lysobacter,12.0,7.0,5.0,0.77075,0.784,0.8,0.4166666666666667,0.029249999999999998,Mixed
xanthobacter,12.0,12.0,0.0,0.694,0.699,0.699,0.0,0.0050000000000000044,PCuAC only
oceanisphaera,11.0,2.0,9.0,0.6825,0.685,0.692,0.8181818181818182,0.009499999999999953,Mixed
martinezella,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
phyllobacterium,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
stutzerimonas,11.0,7.0,4.0,0.714,0.714,0.714,0.36363636363636365,0.0,Mixed
novosphingobium,11.0,11.0,0.0,0.357,0.714,0.722,0.0,0.365,PCuAC only
noviherbaspirillum,11.0,10.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,Mixed
pseudidiomarina,11.0,11.0,0.0,0.763,0.763,1.1480000000000001,0.0,0.3850000000000001,PCuAC only
shinella,11.0,8.0,3.0,0.0,0.0,0.0,0.2727272727272727,0.0,Mixed
micromonospora,11.0,11.0,0.0,0.735,0.735,0.738,0.0,0.0030000000000000027,PCuAC only
thiomicrorhabdus,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
vogesella,11.0,11.0,0.0,0.0,0.7250000000000001,0.7250000000000001,0.0,0.7250000000000001,PCuAC only
arcobacter,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
pseudoduganella,10.0,6.0,4.0,0.769,0.772,0.781,0.4,0.01200000000000001,Mixed
methylorubrum,10.0,10.0,0.0,0.6965,0.7040000000000001,0.7040000000000001,0.0,0.007500000000000062,PCuAC only
acidovorax,10.0,10.0,0.0,0.9400000000000001,1.481,1.481,0.0,0.541,PCuAC only
aromatoleum,10.0,10.0,0.0,0.746,0.746,0.746,0.0,0.0,PCuAC only
ramlibacter,10.0,4.0,6.0,0.758,0.769,0.7855000000000001,0.6,0.02750000000000008,Mixed
celeribacter,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
kaistia,10.0,7.0,3.0,0.7065,0.714,0.71775,0.3,0.011249999999999982,Mixed
rhodopseudomonas,10.0,10.0,0.0,0.694,0.694,0.7015,0.0,0.007500000000000062,PCuAC only
roseateles,10.0,9.0,1.0,0.746,0.746,0.7565,0.1,0.010499999999999954,Mixed
aliivibrio,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
kordiimonas,9.0,9.0,0.0,0.746,0.752,0.752,0.0,0.006000000000000005,PCuAC only
