genus,n_negative,n_positive,median_negative,median_positive,difference
pseudomonas,252,5,0.00746,0.00714,-0.00031999999999999997
bradyrhizobium,77,7,0.00699,0.00699,0.0
massilia,25,17,0.00763,0.00763,0.0
microvirga,22,16,0.00709,0.007115,2.499999999999985e-05
devosia,27,10,0.0,0.0,0.0
neisseria,5,31,0.00676,0.00641,-0.0003500000000000005
azospirillum,6,18,0.007275,0.00719,-8.5e-05
duganella,10,12,0.00775,0.00769,-6.000000000000016e-05
nonomuraea,10,11,0.00752,0.00752,0.0
chromobacterium,9,5,0.00719,0.00725,6.000000000000016e-05
marinobacterium,7,6,0.0,0.0,0.0
lysobacter,7,5,0.00775,0.008,0.0002500000000000002
