column,type
species,character
taxid,character
organism_name,character
nirK_present,numeric
pcuac_present,numeric
class,character
nirK_rep_accession,character
pcuac_rep_accession,character
species_resolved,numeric
nirK_length,numeric
nirK_molecular_weight,numeric
nirK_isoelectric_point,numeric
nirK_gravy,numeric
nirK_aromaticity,numeric
nirK_aa_frac_A,numeric
nirK_aa_frac_C,numeric
nirK_aa_frac_D,numeric
nirK_aa_frac_E,numeric
nirK_aa_frac_F,numeric
nirK_aa_frac_G,numeric
nirK_aa_frac_H,numeric
nirK_aa_frac_I,numeric
nirK_aa_frac_K,numeric
nirK_aa_frac_L,numeric
nirK_aa_frac_M,numeric
nirK_aa_frac_N,numeric
nirK_aa_frac_P,numeric
nirK_aa_frac_Q,numeric
nirK_aa_frac_R,numeric
nirK_aa_frac_S,numeric
nirK_aa_frac_T,numeric
nirK_aa_frac_V,numeric
nirK_aa_frac_W,numeric
nirK_aa_frac_Y,numeric
pcuac_length,numeric
pcuac_molecular_weight,numeric
pcuac_isoelectric_point,numeric
pcuac_gravy,numeric
pcuac_aromaticity,numeric
pcuac_aa_frac_A,numeric
pcuac_aa_frac_C,numeric
pcuac_aa_frac_D,numeric
pcuac_aa_frac_E,numeric
pcuac_aa_frac_F,numeric
pcuac_aa_frac_G,numeric
pcuac_aa_frac_H,numeric
pcuac_aa_frac_I,numeric
pcuac_aa_frac_K,numeric
pcuac_aa_frac_L,numeric
pcuac_aa_frac_M,numeric
pcuac_aa_frac_N,numeric
pcuac_aa_frac_P,numeric
pcuac_aa_frac_Q,numeric
pcuac_aa_frac_R,numeric
pcuac_aa_frac_S,numeric
pcuac_aa_frac_T,numeric
pcuac_aa_frac_V,numeric
pcuac_aa_frac_W,numeric
pcuac_aa_frac_Y,numeric
