feature,p_adj,effect_size_r,significant,lr_rank,rf_rank,mean_model_rank
nirK_aa_frac_W,6.990790337133539e-11,-0.2046524672883263,True,1.0,1.0,1.0
nirK_aa_frac_A,0.0023572199243039873,0.0986207846253555,True,3.0,3.0,3.0
nirK_aa_frac_C,4.106626743143742e-23,-0.3093727772675188,True,10.0,2.0,6.0
nirK_aa_frac_P,5.062077196963435e-11,0.20709960494582058,True,5.0,8.0,6.5
nirK_aa_frac_Y,1.332442791564769e-19,0.282586916341245,True,9.0,7.0,8.0
nirK_aa_frac_E,0.3309669471349572,-0.03473495237746316,False,6.0,12.0,9.0
nirK_aa_frac_I,0.005144390443025098,-0.08963447065645691,True,7.0,11.0,9.0
nirK_aa_frac_K,0.39649229489691545,0.03030054185717157,False,2.0,18.0,10.0
nirK_length,3.29821460446955e-09,0.1853002449664387,True,15.0,5.0,10.0
nirK_aa_frac_L,2.0010390350135073e-09,-0.1885812034055263,True,8.0,13.0,10.5
nirK_aa_frac_R,0.8284219669576377,-0.007860655913747516,False,12.0,9.0,10.5
nirK_gravy,0.8647533524045046,-0.00516084529213412,False,17.0,6.0,11.5
nirK_aa_frac_S,4.281518866380209e-06,0.14557879164208365,True,13.0,10.0,11.5
nirK_aa_frac_G,1.7804910914961663e-15,-0.24882222814599952,True,19.0,4.0,11.5
nirK_isoelectric_point,0.603577175789354,0.01897194951088832,False,4.0,21.0,12.5
nirK_aa_frac_D,0.0036442087111859525,-0.09409414847316055,True,11.0,17.0,14.0
nirK_aromaticity,0.00023776052816236977,0.11752072234146982,True,18.0,15.0,16.5
nirK_aa_frac_F,0.052874693767281884,0.06353461682776673,False,14.0,20.0,17.0
nirK_aa_frac_M,0.000105943318582501,-0.12401820761379434,True,21.0,16.0,18.5
nirK_aa_frac_T,0.005144390443025098,0.09017898089413379,True,16.0,22.0,19.0
nirK_aa_frac_N,0.6316898694467071,-0.01671305321166283,False,24.0,14.0,19.0
nirK_aa_frac_V,0.052874693767281884,0.06396795096123109,False,20.0,19.0,19.5
nirK_aa_frac_H,0.32275576627021196,-0.03617645163776295,False,23.0,23.0,23.0
nirK_aa_frac_Q,0.5816652892014834,-0.020979436210815106,False,22.0,24.0,23.0
