accession,protein_type,length,taxid,organism_name,species,species_resolved,is_representative,representative_selection_reason
WP_002212697.1,NirK,386,487;862513,Neisseria meningitidis;Neisseria meningitidis ATCC 13091,neisseria meningitidis,1,FALSE,
WP_002218947.1,NirK,388,1190572;1190573;1190575;1190578;1190581;487;630588;935589;935591,Neisseria meningitidis;Neisseria meningitidis alpha710;Neisseria meningitidis NZ-05/33;Neisseria meningitidis M01-240149;Neisseria meningitidis NM3139;Neisseria meningitidis NM045;Neisseria meningitidis NM003;Neisseria meningitidis NM518;Neisseria meningitidis NM2866,neisseria meningitidis,1,FALSE,
WP_002222170.1,NirK,386,487;935590;935594,Neisseria meningitidis;Neisseria meningitidis M0579;Neisseria meningitidis M13399,neisseria meningitidis,1,FALSE,
WP_002225006.1,NirK,390,1095679;1095680;1095681;1095682;1095689;1095690;1095701;1145160;1145161;1145162;1190570;1190571;1190576;1190579;122586;487;909420;935597,Neisseria meningitidis;Neisseria meningitidis MC58;Neisseria meningitidis H44/76;Neisseria meningitidis CU385;Neisseria meningitidis 4119;Neisseria meningitidis 12888;Neisseria meningitidis 9757;Neisseria meningitidis 9506;Neisseria meningitidis NM418;Neisseria meningitidis M13255;Neisseria meningitidis NM422;Neisseria meningitidis 2002020;Neisseria meningitidis NM477;Neisseria meningitidis M13265;Neisseria meningitidis 2002030;Neisseria meningitidis NM3141;Neisseria meningitidis NM1476;Neisseria meningitidis NM3173,neisseria meningitidis,1,FALSE,
WP_002235083.1,NirK,390,1069610;487;662598,Neisseria meningitidis;Neisseria meningitidis alpha14;Neisseria meningitidis NM255,neisseria meningitidis,1,FALSE,
WP_002237256.1,NirK,386,1069614;1095666;1095672;1095695;1095698;1145120;1145121;1145123;1145129;1145130;1145131;1145133;122587;487,Neisseria meningitidis;Neisseria meningitidis Z2491;Neisseria meningitidis 69166;Neisseria meningitidis 70030;Neisseria meningitidis 69096;Neisseria meningitidis 70012;Neisseria meningitidis 68094;Neisseria meningitidis 69176;Neisseria meningitidis 70021;Neisseria meningitidis 96060;Neisseria meningitidis 63023;Neisseria meningitidis 61106;Neisseria meningitidis 70082;Neisseria meningitidis 64182,neisseria meningitidis,1,FALSE,
WP_002241840.1,NirK,381,1069620;1069622;487,Neisseria meningitidis;Neisseria meningitidis NM2795;Neisseria meningitidis NM3001,neisseria meningitidis,1,FALSE,
WP_002242903.1,NirK,386,1069621;487,Neisseria meningitidis;Neisseria meningitidis NM3081,neisseria meningitidis,1,FALSE,
WP_002245138.1,NirK,386,1095699;487,Neisseria meningitidis;Neisseria meningitidis 98080,neisseria meningitidis,1,FALSE,
WP_002245512.1,NirK,386,1095691;1095692;1095693;1095697;1145178;1145180;487,Neisseria meningitidis;Neisseria meningitidis 97014;Neisseria meningitidis 2002038;Neisseria meningitidis 2006087;Neisseria meningitidis 97021;Neisseria meningitidis 98002;Neisseria meningitidis 2008223,neisseria meningitidis,1,FALSE,
