species,class,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
unclassified pseudoxanthomonas,both,128,13909.14,9.568,-0.0945,0.04688,0.13281,0,0.03906,0.07031,0.02344,0.0625,0.02344,0.02344,0.07031,0.11719,0.03906,0.01562,0.08594,0.01562,0.07031,0.04688,0.04688,0.09375,0.00781,0.01562
azospirillum argentinense,both,136,14158.06,6.29,0.0257,0.03676,0.13235,0,0.05147,0.02941,0.02206,0.08088,0.06618,0.01471,0.03676,0.11029,0.03676,0.01471,0.10294,0.03676,0.02206,0.07353,0.05882,0.09559,0.00735,0.00735
pseudoxanthomonas beigongshangi,both,128,13909.14,9.568,-0.0945,0.04688,0.13281,0,0.03906,0.07031,0.02344,0.0625,0.02344,0.02344,0.07031,0.11719,0.03906,0.01562,0.08594,0.01562,0.07031,0.04688,0.04688,0.09375,0.00781,0.01562
ralstonia mojiangensis,both,132,14215.47,9.347,-0.0841,0.0303,0.10606,0,0.05303,0.04545,0.01515,0.07576,0.0303,0.01515,0.07576,0.09091,0.06061,0.00758,0.06061,0.05303,0.04545,0.04545,0.07576,0.12879,0.00758,0.00758
unclassified ralstonia,both,132,14215.47,9.347,-0.0841,0.0303,0.10606,0,0.05303,0.04545,0.01515,0.07576,0.0303,0.01515,0.07576,0.09091,0.06061,0.00758,0.06061,0.05303,0.04545,0.04545,0.07576,0.12879,0.00758,0.00758
pseudomonas syringae,pcuac_only,134,14617.83,6.275,0.0784,0.05224,0.13433,0,0.05224,0.04478,0.02985,0.05224,0.06716,0.03731,0.05224,0.1194,0.04478,0.02239,0.07463,0.0597,0.02239,0.04478,0.02239,0.09701,0.01493,0.00746
brucella abortus,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
pseudomonas fluorescens,pcuac_only,140,15203.38,6.366,-0.0093,0.05714,0.13571,0,0.02143,0.08571,0.03571,0.07143,0.07143,0.02857,0.06429,0.11429,0.03571,0.01429,0.05,0.05,0.02143,0.05,0.03571,0.09286,0.00714,0.01429
pseudomonas putida,pcuac_only,134,14494.51,6.015,0.0604,0.05224,0.14925,0,0.04478,0.05224,0.02985,0.04478,0.0597,0.02985,0.03731,0.11194,0.04478,0.04478,0.06716,0.04478,0.02985,0.0597,0.02985,0.09701,0.00746,0.01493
agrobacterium pusense,pcuac_only,142,14825.09,6.909,0.0549,0.0493,0.11268,0,0.05634,0.05634,0.04225,0.12676,0.02817,0.05634,0.09859,0.06338,0.05634,0.02113,0.04225,0.02113,0.01408,0.0493,0.0493,0.09859,0,0.00704
brucella neotomae,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
brucella suis,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
marinovum algicola,pcuac_only,133,13613.52,4.629,0.2376,0.03008,0.13534,0,0.02256,0.08271,0.01504,0.09774,0.01504,0.03759,0.03759,0.09023,0.05263,0.03759,0.07519,0.01504,0.01504,0.06015,0.09023,0.10526,0.00752,0.00752
brucella ovis,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
