species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
neisseria meningitidis,1053687;1069614;1069618;1095666;1095672;1095695;1095698;1145120;1145121;1145123;1145129;1145130;1145131;1145177;1145182;1145183;1145186;1145189;1145190;1245028;374833;487;1055328;1069608;1069622;1077282;1079752;1079755;1079756;1095681;1095682;1095689;1095690;1145160;1145161;1145162;1145167;1145181;1145184;1145185;1145188;1145191;1145192;1145193;1145194;1145195;1190570;1190571;1190576;1190579;122586;1739463;482;487;909420;935593;935594;935595;1069609;1069619;1069621;1095691;1095692;1095693;1095697;1095700;1145168;1145176;1145178;1190580;1307438;1307439;487;562020;935589;935591;935599;1069610;1069611;1069612;1069613;1069615;1069616;1095679;1095680;1172206;487;604162;1069610;487;662598;1069614;1095666;1095672;1095695;1095698;1145120;1145121;1145123;1145129;1145130;1145131;1145133;122587;487;1069617;1079753;1079754;1095665;1095668;1095669;1095670;1095671;1095673;1095675;1095676;1095677;1095678;1095683;1095684;1095685;1095686;1095687;1095688;1095694;1095696;1095699;1095701;1145122;1145124;1145125;1145126;1145128;1145132;1145133;1145134;1145135;1145136;1145137;1145138;1145139;1145140;1145141;1145143;1145144;1145145;1145146;1145147;1145149;1145150;1145151;1145152;1145153;1145154;1145155;1145156;1145158;1145166;1145169;1145170;1145171;1145173;1145174;1145175;1190572;1190573;1190575;1190578;1190581;1386084;272831;487;630588;768484;768485;862513;935586;935587;935590;942513;1069620;1069622;487;1069621;487;1079757;487;1095665;1095673;1095675;1095676;1095678;1095694;1095696;1145124;1145125;1145126;1145128;1145132;1145134;1145135;1145136;1145137;487;942513;1095667;487;1095668;1095669;1095670;1095671;1095677;1145122;1145138;1145139;1145140;1145141;1145143;1145144;487;1095679;1095680;1095681;1095682;1095689;1095690;1095701;1145160;1145161;1145162;1190570;1190571;1190576;1190579;122586;487;909420;935597;1095685;1095686;1145166;1145170;1145173;1145174;487;1095691;1095692;1095693;1095697;1145178;1145180;487;1095699;487;1145146;487;1145159;487;1145168;1145176;1906581;482;487;1145177;487;1145180;487;1190569;487;1190572;1190573;1190575;1190578;1190581;487;630588;935589;935591;122587;2937985;482;487;489;1386084;487;1906581;2830648;482;487;489;933269;482;487;933280;487;487;562020;487;662598;487;862513;487;935588;487;935590;935594,Neisseria meningitidis,1,1,both,WP_002258661.1,WP_002212839.1,1,392,40904.62,5.188,-0.0852,0.07908,0.15816,0.0051,0.04592,0.06633,0.04082,0.09949,0.02296,0.04592,0.05612,0.04082,0.02806,0.03061,0.06378,0.03316,0.02296,0.06122,0.05102,0.08929,0.00255,0.03571,157,16966.57,9.127,-0.2446,0.03822,0.10828,0.0,0.04459,0.06369,0.02548,0.10828,0.07006,0.03185,0.10191,0.07006,0.07006,0.02548,0.03185,0.03185,0.02548,0.03822,0.03822,0.10191,0.00637,0.00637
cutibacterium acnes,1031709;1182749;1292038;1302634;1302635;1302636;1734925;1747;1091045;1226748;1747;1905725;1912216;2899272;679194;765079;765080;1114966;1114969;1136877;1747;1912216;2965101;3413432;765064;765069;765081;765083;765088;765090;765091;765092;765094;765102;765104;765110;765111;765114;765115;765122;1114967;1747;1122995;1747;679195;765074;765075;1134454;1734925;1747;553199;679193;765058;765063;765066;765068;765072;765073;765076;765085;765087;765093;765096;765118;765119;1182750;1747;1182751;1747;1182752;1249619;1276648;1302637;1302638;1734925;1747;1912216;3412787;765057;765065;765070;765082;765097;765098;765106;765107;765112;765113;765116;765117;909952;1234380;1747;1249616;1249617;1302640;1747;1905725;765061;765084;765121;1249618;1302639;1747;1249620;1747;1276649;1747;765071;1292039;1747;1734925;1747;1734925;1747;1905725;1734925;1747;267747;1747;1747;1905725;1747;686659;765067;765077;765078;765086;765089;1747;765095;1747;765099;1747;765100;1747;765101;1747;765103;1747;765105;1747;765108;1747;765120,Cutibacterium acnes,1,0,nirK_only,WP_002512805.1,NA,1,314,34253.72,6.299,-0.0822,0.07325,0.11146,0.01274,0.03503,0.06369,0.0414,0.08917,0.05732,0.05096,0.02229,0.07006,0.03822,0.03185,0.05732,0.03185,0.05732,0.03185,0.0828,0.0828,0.00637,0.02548,,,,,,,,,,,,,,,,,,,,,,,,,
cutibacterium modestum,1182753;1182754;1912223;2559073;765109;765123;765124;999892;1182755;2559073;2559073,Cutibacterium modestum 31N;Cutibacterium modestum,1,0,nirK_only,WP_002529289.1,NA,1,314,34203.65,6.204,-0.0971,0.07643,0.11465,0.00637,0.03185,0.06369,0.0414,0.08599,0.05732,0.04777,0.02866,0.07006,0.04459,0.03822,0.06051,0.03185,0.04459,0.03503,0.0828,0.07962,0.00637,0.02866,,,,,,,,,,,,,,,,,,,,,,,,,
[propionibacterium] namnetense,1051006;1574624,[Propionibacterium] namnetense SK182B-JCVI;Cutibacterium namnetense,1,0,nirK_only,WP_002550210.1,NA,1,314,34238.97,6.515,-0.0283,0.07325,0.11465,0.01274,0.03185,0.06051,0.0414,0.08917,0.05732,0.05414,0.02866,0.07006,0.04459,0.02866,0.05732,0.03822,0.05096,0.03185,0.07325,0.0828,0.00637,0.02548,,,,,,,,,,,,,,,,,,,,,,,,,
simonsiella muelleri,641147;72;72,Simonsiella muelleri,1,1,both,WP_002642011.1,WP_002641845.1,1,387,41394.48,5.729,-0.1708,0.07752,0.1137,0.00517,0.0491,0.0646,0.04393,0.09819,0.02584,0.0491,0.06718,0.05168,0.02584,0.0491,0.05685,0.03876,0.02584,0.03876,0.05943,0.10336,0.00258,0.03101,132,14244.38,9.646,0.0545,0.06061,0.09848,0.0,0.03788,0.0303,0.04545,0.06061,0.03788,0.03788,0.08333,0.09091,0.0303,0.06061,0.04545,0.0303,0.02273,0.04545,0.10606,0.12121,0.0,0.01515
capnocytophaga gingivalis,1017;1017;553178,Capnocytophaga gingivalis,1,0,nirK_only,WP_002668532.1,NA,1,360,38803.09,6.159,-0.0953,0.08333,0.06944,0.00833,0.04444,0.06111,0.04444,0.10833,0.025,0.04722,0.07222,0.08056,0.02222,0.04444,0.07222,0.02778,0.02222,0.03611,0.06944,0.10556,0.00278,0.03611,,,,,,,,,,,,,,,,,,,,,,,,,
leptospira terpstrae,1257025;293075;293075,Leptospira terpstrae,1,0,nirK_only,WP_002973135.1,NA,1,354,38272.45,5.784,-0.0664,0.08475,0.06497,0.00565,0.04237,0.0678,0.04802,0.10169,0.03107,0.05085,0.0678,0.07627,0.02825,0.04237,0.07345,0.0226,0.01977,0.05367,0.05932,0.10734,0.00282,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,
chryseobacterium gleum,1241978;250;253;2758092;525257;59732;651561,Chryseobacterium gleum;Chryseobacterium indologenes;Chryseobacterium;Chryseobacterium gleum ATCC 35910;Chryseobacterium arthrosphaerae;Chryseobacterium bernardetii;Chryseobacterium sp. Marseille-Q3244,1,0,nirK_only,WP_002978658.1,NA,1,331,35791.08,5.804,-0.2498,0.09366,0.06949,0.00604,0.0423,0.07251,0.0574,0.1148,0.02417,0.0574,0.07553,0.05438,0.01813,0.07251,0.0574,0.02115,0.02115,0.03927,0.06344,0.09668,0.00302,0.03323,,,,,,,,,,,,,,,,,,,,,,,,,
leptospira vanthielii,1218591;293085,Leptospira vanthielii;Leptospira vanthielii serovar Holland str. Waz Holland = ATCC 700522,1,0,nirK_only,WP_002989209.1,NA,1,354,38284.48,5.893,-0.0633,0.08475,0.06215,0.00565,0.0452,0.06497,0.0452,0.10169,0.03107,0.0565,0.07062,0.07345,0.02542,0.03955,0.07345,0.0226,0.01977,0.0565,0.0565,0.11017,0.00282,0.03672,,,,,,,,,,,,,,,,,,,,,,,,,
myroides odoratus,256;256;883155;929704,Myroides odoratus,1,0,nirK_only,WP_002990319.1,NA,1,366,39534.72,5.5,-0.1142,0.07923,0.06831,0.00546,0.04372,0.07377,0.04372,0.12022,0.03005,0.04918,0.06284,0.0847,0.03005,0.06011,0.05738,0.02186,0.02459,0.03005,0.05738,0.10109,0.00546,0.03005,,,,,,,,,,,,,,,,,,,,,,,,,
