species,class,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y
burkholderia mallei,nirK_only,367,39267.23,6.559,-0.1223,0.08992,0.11444,0.00272,0.0545,0.04632,0.0545,0.10354,0.02725,0.03815,0.04905,0.06812,0.02452,0.0436,0.07902,0.0218,0.04632,0.03815,0.05995,0.09264,0.00272,0.0327
burkholderia pseudomallei,nirK_only,367,39267.23,6.559,-0.1223,0.08992,0.11444,0.00272,0.0545,0.04632,0.0545,0.10354,0.02725,0.03815,0.04905,0.06812,0.02452,0.0436,0.07902,0.0218,0.04632,0.03815,0.05995,0.09264,0.00272,0.0327
indibacter alkaliphilus,nirK_only,371,40333.5,5.054,-0.1016,0.10512,0.07547,0.00539,0.04043,0.07547,0.06199,0.11051,0.02426,0.05391,0.05391,0.07008,0.04043,0.05121,0.06739,0.02426,0.02156,0.05121,0.05121,0.07817,0.0027,0.04043
pseudoalteromonas nigrifaciens,both,359,38676.4,5.285,-0.0688,0.08914,0.08635,0.00279,0.04178,0.06964,0.05292,0.10028,0.03343,0.06128,0.05014,0.07242,0.02507,0.0585,0.06407,0.0195,0.02228,0.05571,0.06128,0.08635,0.00557,0.03064
mycobacterium intracellulare,nirK_only,314,33600.77,6.202,-0.0815,0.07006,0.11146,0.00318,0.05732,0.04777,0.03503,0.11465,0.03185,0.04459,0.01274,0.07962,0.02229,0.01274,0.07325,0.03185,0.07962,0.0414,0.07325,0.09236,0.01274,0.02229
belliella baltica,nirK_only,371,40333.5,5.054,-0.1016,0.10512,0.07547,0.00539,0.04043,0.07547,0.06199,0.11051,0.02426,0.05391,0.05391,0.07008,0.04043,0.05121,0.06739,0.02426,0.02156,0.05121,0.05121,0.07817,0.0027,0.04043
capnocytophaga periodontitidis,nirK_only,363,38925.99,5.711,-0.0551,0.0854,0.08815,0.00551,0.03857,0.06336,0.04959,0.11019,0.01928,0.04408,0.0551,0.08815,0.01928,0.04408,0.06612,0.04132,0.0303,0.04132,0.06336,0.09642,0.00275,0.03306
flavobacterium sasangense,nirK_only,360,38527.75,5.892,-0.0664,0.08056,0.07222,0.01389,0.04722,0.05833,0.04167,0.11944,0.03056,0.06389,0.06944,0.05556,0.03333,0.05278,0.06667,0.01944,0.01667,0.03611,0.06111,0.10278,0.00278,0.03611
uncultured corynebacterium,nirK_only,302,32240.8,5.526,-0.1705,0.06954,0.08609,0.00662,0.04636,0.06291,0.03642,0.10596,0.04967,0.05298,0.0298,0.07616,0.02318,0.03311,0.06623,0.03311,0.03642,0.09272,0.04967,0.07947,0.00993,0.02318
flavobacterium haoranii,nirK_only,360,38797.2,5.836,-0.115,0.08333,0.05833,0.00833,0.05,0.06389,0.04444,0.11944,0.02778,0.05,0.08056,0.06389,0.03889,0.03889,0.06944,0.02222,0.01389,0.03611,0.06667,0.10833,0.00278,0.03611
avibacterium endocarditidis,nirK_only,338,37034.06,6.265,-0.1553,0.10059,0.07692,0.00296,0.02959,0.06805,0.05325,0.08284,0.03254,0.04734,0.06805,0.07692,0.03254,0.04438,0.0858,0.03254,0.01775,0.05917,0.05621,0.0858,0.00296,0.04438
polaribacter butkevichii,nirK_only,365,39240.34,5.684,-0.0847,0.08493,0.07123,0.00548,0.04384,0.06849,0.05205,0.11233,0.03014,0.06575,0.07123,0.06575,0.03288,0.04932,0.05205,0.01644,0.01644,0.05753,0.07123,0.08493,0.00274,0.03014
micrococcus flavus,nirK_only,314,33222.86,4.81,-0.0242,0.07962,0.15605,0.00318,0.06051,0.06051,0.03822,0.1051,0.03185,0.03503,0.00955,0.03503,0.03185,0.01592,0.06051,0.0414,0.05414,0.02866,0.07325,0.11783,0.01911,0.02229
bizionia saleffrena,nirK_only,365,39571.91,5.614,-0.1247,0.08219,0.06301,0.00548,0.05205,0.06575,0.04384,0.11507,0.0274,0.05205,0.06575,0.06575,0.0411,0.04384,0.06027,0.02466,0.0274,0.03836,0.06301,0.10685,0.00274,0.03562
bizionia gelidisalsuginis,nirK_only,365,39571.91,5.614,-0.1247,0.08219,0.06301,0.00548,0.05205,0.06575,0.04384,0.11507,0.0274,0.05205,0.06575,0.06575,0.0411,0.04384,0.06027,0.02466,0.0274,0.03836,0.06301,0.10685,0.00274,0.03562
